method,seed,method_with_params,param_n,min_rank,max_rank,avg_rank,rank_Agent 1,rank_Agent 2,rank_Agent 3,rank_Agent 4,is_maximin_best,is_utilitarian_best,param_num_candidates,param_num_rounds
best_of_n,43,best_of_n (n=1.0),1.0,3,7,4.25,3,3,7,4,0,0,,
best_of_n,43,best_of_n (n=3.0),3.0,1,9,3.5,1,1,9,3,0,1,,
habermas_machine,43,"habermas_machine (num_candidates=1.0, num_rounds=1.0)",,7,12,9.75,10,7,10,12,0,0,1.0,1.0
best_of_n,43,best_of_n (n=5.0),5.0,2,8,4.25,2,2,8,5,0,0,,
best_of_n,43,best_of_n (n=10.0),10.0,1,5,3.5,4,5,4,1,1,0,,
habermas_machine,43,"habermas_machine (num_candidates=3.0, num_rounds=1.0)",,7,12,10.75,12,12,12,7,0,0,3.0,1.0
habermas_machine,43,"habermas_machine (num_candidates=5.0, num_rounds=1.0)",,6,11,8.5,11,9,6,8,0,0,5.0,1.0
best_of_n,43,best_of_n (n=20.0),20.0,2,6,4.5,5,6,5,2,0,0,,
habermas_machine,43,"habermas_machine (num_candidates=10.0, num_rounds=1.0)",,2,11,7.0,7,8,2,11,0,0,10.0,1.0
habermas_machine,43,"habermas_machine (num_candidates=20.0, num_rounds=1.0)",,1,9,6.5,8,8,1,9,0,0,20.0,1.0
habermas_machine,43,"habermas_machine (num_candidates=50.0, num_rounds=1.0)",,6,11,9.25,9,11,11,6,0,0,50.0,1.0
best_of_n,43,best_of_n (n=50.0),50.0,3,10,5.75,6,4,3,10,0,0,,
