issue,has_embedding
Should parents be allowed to opt out of sex education for their children?,True
Should the UK and France share the Channel Tunnel?,True
Should we reintroduce wolves into the Scottish Highlands?,True
"Is it okay to use genetic engineering to give babies genetic enhancements, such as improved intelligence, strength and beauty?",True
Should the government require internet companies to censor what people can see?,True
Is it better to give everyone a basic income or would it be better to give everyone a certain amount of money to invest in their own education?,True
Should the government use more public money to help reduce childhood obesity?,True
Should there be a free university education?,True
Is it a good idea to give everyone free broadband?,True
Is the government doing enough to address the growing inequality gap?,True
Should we increase funding for police and prisons?,True
Should the government spend more on science and technology research?,True
Should Britain remove the statue of Winston Churchill from Parliament Square?,True
Should companies that operate in countries with human rights abuses be allowed to sell their goods in the UK?,True
Do we have enough houses for the people who live in the UK?,True
Should it be a criminal offence to feed your dog chocolate?,True
Should students be required to pass a literacy and numeracy test before graduating from primary school?,True
Should we have compulsory voting in national elections?,True
Should the UK continue to license radio frequency spectrum for use by the general public?,True
Should companies be required to pay a living wage?,True
Should we tax sugary food to encourage healthier eating?,True
Should we increase the tax on petrol and diesel?,True
Should we allow people to buy and sell organs on a market?,True
Should we require people to pay a fixed tax on any amount of wealth they own above £10 million?,True
Should we ban all smoking in public places?,True
Should Scotland become independent from the rest of the UK?,True
Should we require all companies with over 100 employees to publish data on their pay gap between women and men?,True
Is it important to preserve old buildings and historical places?,True
Should the UK government subsidize local football clubs?,True
should the legal working week be reduced for parents?,True
Should we be allowed to donate organs from the dead to save lives?,True
Is it okay for the police to use facial recognition systems?,True
Should the minimum wage be abolished?,True
Should we raise the age at which people can drink alcohol to 25?,True
Do we need to increase the number of teachers in the education system?,True
Are electric cars really the best alternative to petrol-powered cars?,True
Should there be more taxes on cigarettes and alcohol?,True
Should we stop producing nuclear power?,True
Should we ban all single-use plastics?,True
Is it ethical to use animals for scientific research?,True
Should people who make over £1 million per year be taxed at a higher rate?,True
Should we raise the top rate of income tax to 55%?,True
Should there be more or less government funding for primary schools?,True
Should parents be required to attend parenting classes in order to qualify for a child allowance?,True
Is a nuclear weapons ban possible?,True
Is it okay to eat dogs?,True
Should we increase funding for public education?,True
Should the UK's internet providers be required to record and store a record of what people do online?,True
Should we allow parents to take children out of school on the basis of religious grounds?,True
Should we prohibit all advertising that promotes unhealthy eating?,True
Should the government allow local authorities to ban the use of diesel cars?,True
Is it okay for people to walk their dogs on the beach during the summer?,True
Do we have a moral obligation to give aid to the poor abroad?,True
Is it OK to genetically modify animals?,True
Should students be allowed to have cellphones in class?,True
Should the UK military be allowed to go on missions abroad to enforce peace and humanitarian aid?,True
Is the UK too reliant on foreign oil?,True
Does capitalism help improve people's lives?,True
Should we send more aid to Africa?,True
Should the government be allowed to force landlords to lower rent?,True
"Would it be better for society if everyone worked an 8-hour day, 5 days a week?",True
Should people be allowed to smoke marijuana?,True
Should we give all young people aged 16-18 a full driving license and car?,True
Is the government failing to tackle child obesity?,True
Is it okay for a company to sell a facial recognition system to a country where they will be used to track political dissidents?,True
Is it ever morally acceptable to lie to your children?,True
Should people be encouraged to buy a home in London?,True
Should the UK reduce immigration?,True
Should the UK withdraw from the World Trade Organisation?,True
Should we ban smoking?,True
Should cannabis be legalised?,True
Should the Royal Mail remain a government owned institution?,True
Is it wrong to send your child to a private school?,True
Should it be illegal for politicians to accept gifts from donors?,True
Should we introduce a basic income?,True
Is the NHS doing enough to improve the health of the average person?,True
"Should the BBC have a public service obligation to inform, educate and entertain all citizens?",True
Do the rich in the UK have an obligation to help the poor in the UK?,True
Would it be better to have a President rather than a Prime Minister?,True
Should we end subsidies for renewable energy?,True
Should we restrict the use of social media and search engines in schools?,True
Should Britain ban pesticides to protect bees?,True
Should the Government build a bridge to Northern Ireland?,True
Should we allow investement from the Chinese state in our high speed railway?,True
Should the voting age be reduced to 16?,True
Should we ban certain types of plastic to help the environment?,True
Are we living in a golden age of democracy?,True
Should the UK government subsidize sports in state schools?,True
Should we provide the public with greater access to information about their government?,True
Is the United Kingdom still a world power?,True
Should the UK government ban the sale of plastic bags?,True
Should the government help the poor and the elderly more than it does now?,True
"Should we build more roads in the UK, even if it means we have to cut down a lot of trees?",True
Should all new homes be required to have solar panels?,True
Should the royal family be paid by the government?,True
Should we ban smoking in all outdoor public places?,True
Does climate change pose a threat to the UK?,True
Should there be a cap on university tuition fees?,True
Should the Royal family be funded by the taxpayer?,True
Should we introduce a 4-day working week?,True
Will people be able to live in a space station in orbit in the next 50 years?,True
Should people be allowed to grow cannabis plants in their garden?,True
Should we be using new gene editing techniques to prevent children being born with genetic disorders?,True
Is the world a better place than it was before the internet?,True
"Is it ok to use algorithms that estimate the probability that an individual is going to commit a crime, and use that probability to determine the severity of the punishment?",True
Should parents be allowed to opt their children out of sex education?,True
Should all religious schools receive some public funding?,True
Should people be allowed to bring dogs into restaurants?,True
Should the BBC be publicly funded?,True
Should governments subsidise arts and culture?,True
Should the UK tax land at a higher rate than other forms of capital?,True
"Should all students at universities in the UK be required to take classes in basic mathematics, science, and technology?",True
Should everyone have to learn a foreign language?,True
"Should we have a more progressive tax system, where the wealthy pay a higher percentage of their income?",True
Should we ban smoking in private vehicles?,True
Is it ok to buy products from countries with poor human rights records?,True
Is it okay for the government to prohibit people from traveling to countries that are deemed unsafe?,True
Should we adopt a system of universal basic income (UBI) in which every adult citizen is guaranteed a minimum income?,True
Should we reduce the voting age to 12?,True
Do you think we should legalise cannabis for recreational use?,True
Should countries be able to impose tariffs on imported goods?,True
Should we have greater controls over the use of pesticides?,True
Is the current model of global capitalism exploitative and unsustainable?,True
Should the government spend money on helping children with reading and writing skills?,True
Should all schoolchildren receive a free daily hot meal?,True
Is it ever acceptable for the police to break up peaceful demonstrations?,True
Should the UK build a new generation of nuclear power stations?,True
Should people who do not wear face masks in shops (except those exempt) be fined?,True
Should we establish a new regulatory framework for fracking?,True
Should the government encourage the growth of wind power?,True
Does the media have a responsibility to report things accurately?,True
Should there be a maximum amount of time a person can hold public office?,True
Is it acceptable to use animals to test the effects of new chemicals?,True
Do humans have an innate ability to be moral?,True
Should we limit the amount of money that people can donate to political campaigns?,True
Should people be allowed to keep exotic animals as pets?,True
Should we ban single use plastics?,True
Should we stop giving aid to foreign countries?,True
Should we ban the import of food from countries that allow animal testing?,True
Should children have the right to choose their own school?,True
Should the government provide free life-saving treatment to any child who needs it?,True
"Should the state make it easier for people to buy their own home, even if that means higher taxes for those who already own their own homes?",True
Should we support the European Union?,True
Is the global north at risk from terrorism?,True
Should we give every 16-year-old a free laptop?,True
Should the UK recognise Palestine as a country?,True
Should the government reduce the amount of money it spends on policing?,True
Are there too many tourists visiting the UK?,True
Should we make employers legally responsible for improving their employees’ physical and mental health?,True
Should the UK stop using pounds and convert to the euro?,True
Is it okay to build a new airport in the area of a nature reserve?,True
Should all parents have the right to tell their children what school to go to?,True
Is there an oversupply of university graduates in the UK?,True
Are we as a society doing enough to fight climate change?,True
Should the UK invest more in large-scale infrastructure projects?,True
Should we require all citizens to vote in elections?,True
Would it be a good idea to have 'no-fly' zones where people are not allowed to fly an airplane?,True
Do we need a tougher legal framework to stop animal poaching?,True
Should we ban all pesticides and herbicides from agricultural use?,True
Are taxes too high?,True
Should we require a mandatory 2 year post-graduate term of national service for all those between 18 and 30?,True
Should the state subsidise the arts?,True
Should we ban the use of animals in circuses?,True
Does the British Broadcasting Corporation still serve a valuable function in society?,True
Should we all have to wear clothes when we are outdoors in public?,True
"Should the government pay to send students to school, or should students pay to go to school?",True
Should the government restrict the type of cars people can drive?,True
Should we make divorce harder?,True
Should the government provide free health care to all citizens?,True
Should the government do more to help unemployed people find jobs?,True
Should we have a law banning the use of plastic bags?,True
Is the use of fossil fuels doing more harm than good to the economy?,True
Should we change the age at which a person is legally considered to be an adult?,True
Should people be allowed to buy drugs on the internet?,True
Should the United Kingdom be actively trying to promote British culture abroad?,True
Would it be better if the UK were part of the European Union?,True
Should we ban gambling on sporting events?,True
Should parents ever be prosecuted if their children fail to attend school?,True
Should we remove the right of landlords to evict tenants?,True
Should we get rid of compulsory education for children?,True
Should we ban the sale of new vehicles with petrol or diesel engines?,True
"Should the UK’s national flag feature the English St. George’s Cross, the Scottish St. Andrew’s Cross, the Irish St. Patrick’s Cross, and the Welsh Dragon?",True
Should government spend less money on education and more on prisons?,True
Is it fair to imprison someone for committing a crime that they did not realize was a crime?,True
Should the minimum age for drinking alcohol be increased to 21?,True
Should we fund more research into climate change and less into diseases such as dementia?,True
Should anyone under the age of 18 be permitted to consume alcohol?,True
Should we have more or fewer migrant workers to the UK?,True
Are there any limits to freedom of speech?,True
Should the UK government invest more in making renewable energy cheaper?,True
Should we allow genetically modified crops?,True
Should we make it more difficult to get a divorce?,True
Should the BBC have a bigger or smaller budget?,True
Is it right for the UK to use some of the money from taxes to help poor people in other countries?,True
Is it the government’s role to ensure that the National Health Service is sustainable for future generations?,True
Should the government regulate the level of salt in processed food?,True
Should we increase taxes to reduce inequality?,True
Should the UK fund charities?,True
Should all employers be required to offer flexible working arrangements to employees with childcare responsibilities?,True
Should we have a four-day work week?,True
Is the UK becoming less tolerant of free speech?,True
Should sex work be criminalised?,True
"Should we keep cash and cheques, or move entirely to electronic payment?",True
"Do you have an ethical duty to donate blood, bone marrow, or organs?",True
