method,seed,method_with_params,param_n,min_rank,max_rank,avg_rank,rank_Agent 1,rank_Agent 2,rank_Agent 3,rank_Agent 4,rank_Agent 5,is_maximin_best,is_utilitarian_best,param_num_candidates,param_num_rounds
best_of_n,43,best_of_n (n=1.0),1.0,1,12,6.6,10,12,1,9,1,0,0,,
best_of_n,43,best_of_n (n=3.0),3.0,5,8,6.2,7,6,5,8,5,0,0,,
habermas_machine,43,"habermas_machine (num_candidates=1.0, num_rounds=1.0)",,4,11,7.6,9,10,4,11,4,0,0,1.0,1.0
best_of_n,43,best_of_n (n=5.0),5.0,6,10,8.0,6,8,9,7,10,0,0,,
best_of_n,43,best_of_n (n=10.0),10.0,1,10,5.0,1,3,10,2,9,0,0,,
habermas_machine,43,"habermas_machine (num_candidates=3.0, num_rounds=1.0)",,1,11,6.0,5,1,7,6,11,0,0,3.0,1.0
habermas_machine,43,"habermas_machine (num_candidates=5.0, num_rounds=1.0)",,1,12,7.2,8,7,8,1,12,0,0,5.0,1.0
best_of_n,43,best_of_n (n=20.0),20.0,2,11,5.4,2,4,11,3,7,0,0,,
habermas_machine,43,"habermas_machine (num_candidates=10.0, num_rounds=1.0)",,2,6,4.6,4,2,6,5,6,1,1,10.0,1.0
habermas_machine,43,"habermas_machine (num_candidates=20.0, num_rounds=1.0)",,3,12,8.0,11,11,3,12,3,0,0,20.0,1.0
habermas_machine,43,"habermas_machine (num_candidates=50.0, num_rounds=1.0)",,2,12,7.0,12,9,2,10,2,0,0,50.0,1.0
best_of_n,43,best_of_n (n=50.0),50.0,3,12,6.4,3,5,12,4,8,0,0,,
