method,seed,method_with_params,param_n,min_rank,max_rank,avg_rank,rank_Agent 1,rank_Agent 2,rank_Agent 3,rank_Agent 4,rank_Agent 5,is_maximin_best,is_utilitarian_best,param_num_candidates,param_num_rounds
best_of_n,44,best_of_n (n=1.0),1.0,2,10,7.0,10,10,2,5,8,0,0,,
best_of_n,44,best_of_n (n=3.0),3.0,3,9,5.8,9,6,3,4,7,0,0,,
habermas_machine,44,"habermas_machine (num_candidates=1.0, num_rounds=1.0)",,9,12,10.6,12,12,9,10,10,0,0,1.0,1.0
best_of_n,44,best_of_n (n=5.0),5.0,6,11,8.6,11,11,6,6,9,0,0,,
best_of_n,44,best_of_n (n=10.0),10.0,1,7,4.4,6,7,4,1,4,1,0,,
habermas_machine,44,"habermas_machine (num_candidates=3.0, num_rounds=1.0)",,2,12,8.2,4,2,11,12,12,0,0,3.0,1.0
habermas_machine,44,"habermas_machine (num_candidates=5.0, num_rounds=1.0)",,1,9,4.4,2,1,7,9,3,0,0,5.0,1.0
best_of_n,44,best_of_n (n=20.0),20.0,2,8,5.4,7,8,5,2,5,0,0,,
habermas_machine,44,"habermas_machine (num_candidates=10.0, num_rounds=1.0)",,1,8,4.6,1,4,8,8,2,0,0,10.0,1.0
habermas_machine,44,"habermas_machine (num_candidates=20.0, num_rounds=1.0)",,1,7,3.4,3,5,1,7,1,0,1,20.0,1.0
habermas_machine,44,"habermas_machine (num_candidates=50.0, num_rounds=1.0)",,3,11,8.0,5,3,10,11,11,0,0,50.0,1.0
best_of_n,44,best_of_n (n=50.0),50.0,3,12,7.6,8,9,12,3,6,0,0,,
